,title_english,imdb_rating,votes_imdb,metascore,year,director,stars,imdb_trust
16040,Humpty Dumpty,"6,5",205.0,,1935,,,False
16041,The Lost Lion Kingdom,"3,8",140.0,,2019,Jason Wright,"Kj Schrock, Sarah Taylor",False
16042,The Pirates and the Prince (1997 Video),"5,9",320.0,,1997,Ken Stephenson,"Anthony Daniels, Jan Austin, Graeme Campbell, Rob Cowan",False
16043,Mighty Mouse,,,,,,,False
16044,The Mechanical Cow,"6,1",311.0,,1927,,,False
16045,El país de las nanas,"6,6",543.0,,1933,Wilfred Jackson,"Pinto Colvig, Dorothy Compton, Beatrice Hagen, Mary Moder",False
16046,The Last Belle,"7,1",178.0,,2011,Neil Boyle,"Sienna Guillory, Amanda Donohoe, Colin McFarlane",False
16047,The Real Story of O Christmas Tree (1991 Video),"7,6",31.0,,1991,Michel Haillard,"Debbie Harry, John Ritter, Jason Ritter, Arthur Holden",False
16048,Boss of this gym (sfm movie),,,,2018,,,False
16049,Overwatch: Rise and Shine,"7,2",153.0,,2017,Ben Dai,"Tom Bromhead, Crispin Freeman, Zhang Yu",False
16050,The Shock Doctrine,"7,6",872.0,,2007,Jonás Cuarón,Naomi Klein,False
16051,Little Hakka,,,,2023,Yuan Chao Zhang Lili,"Joy Jackson, Alysa Kees, George Kees, Natasha Kees",False
16052,The Paneless Window Washer,"7,1",401.0,,1937,"Dave Fleischer, Willard Bowsky","Jack Mercer, Mae Questel, Gus Wicke",False
16053,Technological Threat,"6,4",564.0,,1988,Bill Kroyer,Mel Blanc,False
16054,Fushigi Yûgi: The Mysterious Play - Reflections OAV 2,"6,9",128.0,,1997,,"Bridget Hoffman, Wendee Lee, David Hayter, Derek Stephen Prince",False
16055,Fox Fires,"8,2",24.0,,2019,,,False
16056,The Spirit of '43,"5,3",585.0,,1943,Jack King,Clarence Nash,False
16057,Little Orphan Airedale,"6,8",238.0,,1947,Chuck Jones,Mel Blanc,False
16058,Mekk Elek az ezermester,"7,4",551.0,,1980,,"Péter Balázs, Ferenc Zenthe, Gyula Bodrogi, Endre Harkányi",False
16059,Chuparskyi University,"8,8",11.0,,2022,,"Mykhailo Karpan, Ihor Anisimov, Julian Hrytsevych, Mariana Yankevych",False
16060,Dog of Wisdom II,"9,8",22.0,,2023,Joe Gran,Joe Gran,False
16061,Ninin ga shinobuden,"7,2",150.0,,2004,,"Nana Mizuki, Ayako Kawasumi, Norio Wakamoto, Tomokazu Seki",False
16062,Joe's World: The Movie,,,,2023,,Anonymous,False
16063,Bhakt Prahalad,,,,,,,False
16064,Alejo y Valentina,"7,6",323.0,,2002,,"Alejandro Szykula, Marito Coneri Baracus, Pablo Zimmerman, Salomón",False
16065,Cleaning House,"5,8",122.0,,1938,Robert Allen,"Billy Bletcher, Jeanne Dunne, Shirley Reed, Martha Wentworth",False
16066,Ludwig,"7,9",38.0,,1977,,Jon Glover,False
16067,Space Strikers,"7,5",26.0,,1995,,"David Coburn, Brian Cummings, Michael Donovan, Terry Klassen",False
16068,Uma & Haggen MYTH,,,,2022,"Eduardo Cabrera, Martín Claudón, Benito Fernández","Oliver Diaz Barba, Jesse Conde, Melissa Gedeón, Alondra Hidalgo",False
16069,Guided Mouse-Ille,"5,9",445.0,,1967,,,False
16070,El pato de las triquiñuelas,"7,2",443.0,,1956,Robert McKimson,Mel Blanc,False
16071,There's Good Boos To-Night,"6,6",292.0,,1948,"Izzy Sparber, Myron Waldman","Frank Gallop, Jack Mercer, Sid Raymond, Walter Tetley",False
16072,Style Theory,"8,3",11.0,,2023,,"Daniel Zemke, Matthew Patrick",False
16073,One Piece 3D Gekisou! Trap Coaster,"7,3",13.0,,2011,,"Chô, Hiroaki Hirata, Kazuya Nakai, Akemi Okamura",False
16074,Apocalypsis,"7,2",55.0,,2018,Eric Leiser,"Maria Bruun, Chris O'Leary, Eros Galbiati, Azumi Tsutsui",False
16075,The Sunshine Makers,"6,4",269.0,,1935,,,False
16076,The Funny Farm,,,,1968,,"Barbara Becker, Jack DuBlon",False
