,title_english,imdb_rating,votes_imdb,metascore,year,director,stars,imdb_trust
0,Ninja turtles: caos mutante,"7,6",7582.0,74.0,2023,"Jeff Rowe, Kyler Spears","Micah Abbey, Shamon Brown Jr., Nicolas Cantu, Brady Noon",False
1,Super Mario Bros.: La película,"7,1",172669.0,46.0,2023,"Aaron Horvath, Michael Jelenic, Pierre Leduc, Fabien Polack","Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black",True
2,Futurama,"8,5",249936.0,,1999,,"Billy West, John DiMaggio, Katey Sagal, Tress MacNeille",True
3,One Piece,"8,9",162836.0,,1999,,"Mayumi Tanaka, Laurent Vernin, Tony Beck, Akemi Okamura",True
4,Spider-Man: Cruzando el multiverso,"8,9",200405.0,86.0,2023,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez",True
5,Prodigiosa: Las aventuras de Ladybug - La película,"6,2",3044.0,,2023,Jeremy Zag,"Annouck Hautbois, Benjamin Bollen, Antoine Tomé, Fanny Bloc",False
6,Capitán Fall,"6,9",1146.0,,2023,,"Jason Ritter, Christopher Meloni, Lesley-Ann Brandt, Anthony Carrigan",False
7,Invincible,"8,7",160632.0,,2021,,"Steven Yeun, J.K. Simmons, Sandra Oh, Zazie Beetz",True
8,Jujutsu Kaisen,"8,5",78716.0,,2020,,"Junya Enoki, Yûichi Nakamura, Adam McArthur, Yuma Uchida",False
9,Ataque a los titanes,"9,1",424082.0,,2013,,"Josh Grelle, Bryce Papenbrook, Yûki Kaji, Yui Ishikawa",True
10,Elemental,"7,1",29162.0,58.0,2023,Peter Sohn,"Leah Lewis, Mamoudou Athie, Ronnie Del Carmen, Shila Ommi",False
11,El gato con botas: El último deseo,"7,9",147374.0,73.0,2022,"Joel Crawford, Januel Mercado","Antonio Banderas, Salma Hayek, Harvey Guillén, Florence Pugh",True
12,Harley Quinn,"8,5",34417.0,,2019,,"Kaley Cuoco, Lake Bell, Alan Tudyk, Ron Funches",False
13,Los Simpson,"8,7",421809.0,,1989,,"Dan Castellaneta, Nancy Cartwright, Harry Shearer, Julie Kavner",True
14,Prodigiosa: Las aventuras de Ladybug,"7,6",13915.0,,2015,,"Cristina Valenzuela, Bryce Papenbrook, Keith Silverstein, Max Mittelman",False
15,Resident Evil: Death Island,"5,8",4281.0,,2023,Eiichirô Hasumi,"Matthew Mercer, Nicole Tompkins, Kevin Dorman, Stephanie Panisello",False
16,Rick y Morty,"9,1",561926.0,,2013,,"Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",True
17,My Adventures with Superman,"7,7",2645.0,,2023,,"Jack Quaid, Alice Lee, Ishmel Sahid, Darrell Brown",False
18,Nimona,"7,6",24069.0,75.0,2023,"Nick Bruno, Troy Quane","Chloë Grace Moretz, Riz Ahmed, Eugene Lee Yang, Frances Conroy",False
19,South Park,"8,7",392445.0,,1997,,"Trey Parker, Matt Stone, Isaac Hayes, Mona Marshall",True
20,Demon Slayer: Kimetsu no Yaiba,"8,7",128442.0,,2019,,"Natsuki Hanae, Zach Aguilar, Abby Trott, Akari Kitô",True
21,Padre de familia,"8,2",353495.0,,1999,,"Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis",True
22,Vida perra,"6,9",204.0,,2023,Josh Greenbaum,"Will Ferrell, Jamie Foxx, Sofía Vergara, Isla Fisher",False
23,"Ruby, aventuras de una kraken adolescente","5,7",4844.0,50.0,2023,"Kirk DeMicco, Faryn Pearl","Jane Fonda, Lana Condor, Toni Collette, Colman Domingo",False
24,Spider-Man: Un nuevo universo,"8,4",616675.0,87.0,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali",True
25,Star Trek: Lower Decks,"7,6",21226.0,,2020,,"Tawny Newsome, Jack Quaid, Noël Wells, Eugene Cordero",False
26,Bleach: Thousand Year Blood War,"9,1",22352.0,,2022,,"Masakazu Morita, Johnny Yong Bosch, Takayuki Sugô, Richard Epcar",False
27,Zom 100: Cien cosas que quiero hacer antes de convertirme en zombi,"8,2",1180.0,,2023,,"Shuichiro Umeda, Zeno Robinson, Makoto Furukawa, Kenta Miyake",False
28,Bluey,"9,5",18691.0,,2018,,"David McCormack, Melanie Zanetti, Ninthe van Schie, Brad Elliott",False
29,Justice League: Warworld,"5,3",1462.0,,2023,Jeff Wamester,"Jensen Ackles, Ike Amadi, Troy Baker, Matt Bomer",False
30,El príncipe dragón,"8,3",25806.0,,2018,,"Paula Burrows, Jack De Sena, Sasha Rojen, Racquel Belmonte",False
31,Avatar. La leyenda de Aang,"9,3",338918.0,,2005,,"Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman, Jack De Sena",True
32,BoJack Horseman,"8,8",173858.0,,2014,,"Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul",True
33,Arcane,"9,0",237682.0,,2021,,"Hailee Steinfeld, Kevin Alejandro, Jason Spisak, Terri Douglas",True
34,Star Wars Rebels,"8,0",50723.0,,2014,,"Dave Filoni, Taylor Gray, Freddie Prinze Jr., Vanessa Marshall",False
35,Vinland Saga,"8,8",56360.0,,2019,,"Yûto Uemura, Mike Haimoto, Alejandro Saab, Aleks Le",False
36,Star Wars: The Clone Wars,"8,4",109538.0,,2008,,"Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor",True
37,Baki Hanma,"6,8",2832.0,,2021,,"Troy Baker, Kirk Thornton, Mick Wingert, Ray Chase",False
38,The First Slam Dunk,"8,4",4327.0,87.0,2022,Takehiko Inoue,"Jon Allen, Ben Balmaceda, Luis Bermudez, Paul Castro Jr.",False
39,Bob's Burgers,"8,2",87321.0,,2011,,"H. Jon Benjamin, Dan Mintz, Eugene Mirman, John Roberts",False
40,¡Canta! 2,"7,4",77686.0,49.0,2021,"Garth Jennings, Christophe Lourdelet","Matthew McConaughey, Reese Witherspoon, Scarlett Johansson, Tori Kelly",False
41,Bob Esponja,"8,2",105843.0,,1999,,"Tom Kenny, Rodger Bumpass, Bill Fagerbakke, Clancy Brown",True
42,Naruto,"8,4",114808.0,,2002,,"Junko Takeuchi, Maile Flanagan, Kate Higgins, Chie Nakamura",True
43,Mi feliz matrimonio,"8,4",690.0,,2023,,"Reina Ueda, Kaito Ishikawa, Ayane Sakura, Koutarou Nishiyama",False
44,Mushoku-tensei ~Isekai ittara honki dasu~,"8,4",15282.0,,2021,,"Yumi Uchiyama, Tomokazu Sugita, Amber Lee Connors, Ai Kakuma",False
45,Archer,"8,6",160586.0,,2009,,"H. Jon Benjamin, Judy Greer, Amber Nash, Chris Parnell",True
46,"Love, Death & Robots","8,4",183109.0,,2019,,"Fred Tatasciore, Scott Whyte, Nolan North, Noshir Dalal",True
47,Hora de aventuras,"8,6",103718.0,,2007,,"John DiMaggio, Jeremy Shada, Tom Kenny, Hynden Walch",True
48,Naruto: Shippûden,"8,7",141817.0,,2007,,"Alexandre Crepet, Junko Takeuchi, Maile Flanagan, Kate Higgins",True
49,El viaje de Chihiro,"8,6",802310.0,96.0,2001,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi",True
50,El rey león,"8,5",1098111.0,88.0,1994,"Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg",True
51,Bleach: Burîchi,"8,2",62467.0,,2004,,"Johnny Yong Bosch, Michelle Ruff, Stephanie Sheh, Jamieson Price",False
52,Encanto,"7,2",241980.0,75.0,2021,"Jared Bush, Byron Howard, Charise Castro Smith","Stephanie Beatriz, María Cecilia Botero, John Leguizamo, Mauro Castillo",True
53,Cars,"7,2",445610.0,73.0,2006,"John Lasseter, Joe Ranft","Owen Wilson, Bonnie Hunt, Paul Newman, Larry the Cable Guy",True
54,Hunter x Hunter,"9,0",116081.0,,2011,,"Issei Futamata, Megumi Han, Cristina Valenzuela, Mariya Ise",True
55,Ratatouille,"8,1",779951.0,96.0,2007,"Brad Bird, Jan Pinkava","Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm",True
56,La sirenita,"7,6",280711.0,88.0,1989,"Ron Clements, John Musker","Jodi Benson, Samuel E. Wright, Rene Auberjonois, Christopher Daniel Barnes",True
57,Fantástico Sr. Fox,"7,9",253071.0,83.0,2009,Wes Anderson,"George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman",True
58,Vaiana (I),"7,6",357360.0,81.0,2016,"Ron Clements, John Musker, Don Hall, Chris Williams","Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",True
59,My Hero Academia,"8,3",71523.0,,2016,,"Daiki Yamashita, Justin Briner, Nobuhiko Okamoto, Clifford Chapin",False
60,TMNT - Tortugas ninja jóvenes mutantes,"6,2",67003.0,41.0,2007,Kevin Munroe,"Patrick Stewart, Mako, Chris Evans, Sarah Michelle Gellar",False
61,Toy Story,"8,3",1030422.0,96.0,1995,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",True
62,Castlevania,"8,3",72353.0,,2017,,"Richard Armitage, James Callis, Alejandra Reynoso, Theo James",False
63,La tumba de las luciérnagas,"8,5",292230.0,94.0,1988,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara",True
64,Las Tortugas Ninja,"7,9",13087.0,,2012,,"Sean Astin, Rob Paulsen, Greg Cipes, Mae Whitman",False
65,Pesadilla antes de Navidad,"7,9",354486.0,82.0,1993,Henry Selick,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey",True
66,¡Canta!,"7,1",181456.0,59.0,2016,"Garth Jennings, Christophe Lourdelet","Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson",True
67,Del revés (Inside Out) (I),"8,1",747553.0,94.0,2015,"Pete Docter, Ronnie Del Carmen","Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling",True
68,Death Note,"8,9",351113.0,,2006,,"Mamoru Miyano, Brad Swaile, Vincent Tong, Ryô Naitô",True
69,El castillo ambulante,"8,2",419461.0,82.0,2004,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin, Akihiro Miwa",True
70,Las Tortugas Ninja,"7,9",36106.0,,1987,,"Cam Clarke, Barry Gordon, Rob Paulsen, Townsend Coleman",False
71,Padre Made in USA,"7,4",132285.0,,2005,,"Seth MacFarlane, Wendy Schaal, Scott Grimes, Rachael MacFarlane",True
72,Primal,"8,7",17836.0,,2019,,"Aaron LaPlante, Laëtitia Eïdo, Fred Tatasciore, Imari Williams",False
73,Baki,"6,8",7599.0,,2018,,"Tôru Furuya, Kirk Thornton, Troy Baker, Nobunaga Shimazaki",False
74,Los mundos de Coraline,"7,7",247558.0,80.0,2009,Henry Selick,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders",True
75,El rey de la colina,"7,5",56051.0,,1997,,"Mike Judge, Kathy Najimy, Pamela Adlon, Johnny Hardwick",False
76,Gravity Falls,"8,9",122695.0,,2012,,"Kristen Schaal, Jason Ritter, Alex Hirsch, Linda Cardellini",True
77,El rey león,"6,8",257474.0,55.0,2019,Jon Favreau,"Donald Glover, Beyoncé, Seth Rogen, Chiwetel Ejiofor",True
78,Black Clover,"8,3",29649.0,,2017,,"Dallas Reid, Jill Harris, Cris George, Christopher Sabat",False
79,Zootrópolis,"8,0",522962.0,78.0,2016,"Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",True
80,Los Increíbles,"8,0",772825.0,90.0,2004,Brad Bird,"Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee",True
81,Batman: La serie animada,"9,0",110308.0,,1992,,"Kevin Conroy, Loren Lester, Efrem Zimbalist Jr., Bob Hastings",True
82,Fullmetal Alchemist: Brotherhood,"9,1",182725.0,,2009,,"Kent Williams, Iemasa Kayumi, Matthew Leonhart, Vic Mignogna",True
83,Chainsaw Man,"8,4",41334.0,,2022,,"Kikunosuke Toya, Ryan Colt Levy, Tomori Kusunoki, Shogo Sakata",False
84,Your Name.,"8,4",294420.0,81.0,2016,Makoto Shinkai,"Ryunosuke Kamiki, Mone Kamishiraishi, Ryo Narita, Aoi Yûki",True
85,La patrulla canina: La superpelícula,,,,2023,Cal Brunker,"Mckenna Grace, James Marsden, Kristen Bell, Iain Armitage",False
86,Buscando a Nemo,"8,2",1077295.0,90.0,2003,"Andrew Stanton, Lee Unkrich","Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe",True
87,Coco (I),"8,4",547171.0,81.0,2017,"Lee Unkrich, Adrian Molina","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach",True
88,JoJo's Bizarre Adventure,"8,5",29781.0,,2012,,"David Vincent, Matthew Mercer, Daisuke Ono, Unshô Ishizuka",False
89,"Monstruos, S.A.","8,1",942982.0,79.0,2001,"Pete Docter, David Silverman, Lee Unkrich","Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi",True
90,La leyenda de Vox Machina,"8,4",36103.0,,2022,,"Laura Bailey, Taliesin Jaffe, Ashley Johnson, Matthew Mercer",False
91,Suzume,"7,7",23840.0,77.0,2022,Makoto Shinkai,"Nanoka Hara, Hokuto Matsumura, Eri Fukatsu, Shôta Sometani",False
92,Up,"8,3",1082765.0,88.0,2009,"Pete Docter, Bob Peterson","Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer",True
93,La leyenda de Korra,"8,4",128822.0,,2012,,"Janet Varney, P.J. Byrne, David Faustino, J.K. Simmons",True
94,Bastard!!,"6,5",2128.0,,2022,,"Kishô Taniyama, Tomori Kusunoki, Erin Yvette, Nao Tôyama",False
95,Encantada: La historia de Giselle,"7,1",211932.0,75.0,2007,Kevin Lima,"Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey",True
96,One Punch Man,"8,7",174098.0,,2015,,"Makoto Furukawa, Kaito Ishikawa, Max Mittelman, Zach Aguilar",True
97,Río,"6,9",239580.0,63.0,2011,Carlos Saldanha,"Jesse Eisenberg, Anne Hathaway, George Lopez, Karen Disher",True
98,Praise Petey,"5,8",389.0,,2023,,"Annie Murphy, John Cho, Kiersey Clemons, Stephen Root",False
99,Hércules,"7,3",244291.0,74.0,1997,"Ron Clements, John Musker","Tate Donovan, Susan Egan, James Woods, Barbara Barrie",True
100,Kung Fu Panda,"7,6",494919.0,74.0,2008,"Mark Osborne, John Stevenson","Jack Black, Ian McShane, Angelina Jolie, Dustin Hoffman",True
101,Shrek,"7,9",706798.0,84.0,2001,"Andrew Adamson, Vicky Jenson","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow",True
102,Los tipos malos,"6,8",50794.0,64.0,2022,Pierre Perifel,"Sam Rockwell, Marc Maron, Awkwafina, Craig Robinson",False
103,Dragon Ball Z,"8,8",139123.0,,1989,,"Doc Harris, Christopher Sabat, Scott McNeil, Sean Schemmel",True
104,(Des)encanto,"7,2",66838.0,,2018,,"Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio",False
105,Frozen: El reino del hielo (I),"7,4",644443.0,75.0,2013,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",True
106,WALL·E,"8,4",1156514.0,95.0,2008,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",True
107,¿Como vives?,"7,5",596.0,,2023,Hayao Miyazaki,"Soma Santoki, Masaki Suda, Takuya Kimura, Aimyon",False
108,The Boondocks,"8,5",33422.0,,2005,,"Regina King, John Witherspoon, Gary Anthony Williams, Cedric Yarbrough",False
109,Heavenly Delusion,"8,0",3164.0,,2023,,"Nick Martineau, Gen Satô, Sayaka Senbongi, Hibiku Yamamura",False
110,La LEGO película,"7,7",375186.0,83.0,2014,"Phil Lord, Christopher Miller","Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett",True
111,La princesa Mononoke,"8,3",412171.0,76.0,1997,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup",True
112,Monster,"8,7",37593.0,,2004,,"Hidenobu Kiuchi, Liam O'Brien, Mamiko Noto, Karen Strassman",False
113,¿Qué pasaría si...?,"7,4",128330.0,,2021,,"Jeffrey Wright, Terri Douglas, Matthew Wood, Robin Atkin Downes",True
114,Toy Story 3,"8,3",864440.0,92.0,2010,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",True
115,Wish: El poder de los deseos (II),,,,2023,"Chris Buck, Fawn Veerasunthorn","Chris Pine, Alan Tudyk, Ariana DeBose",False
116,Trolls 3: Todos juntos,,,,2023,"Walt Dohrn, Tim Heitz","Zooey Deschanel, Anna Kendrick, Daveed Diggs, Justin Timberlake",False
117,Enredados,"7,7",474631.0,71.0,2010,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",True
118,Historias corrientes,"8,5",52107.0,,2010,,"J.G. Quintel, William Salyers, Sam Marin, Mark Hamill",False
119,Big Mouth,"7,9",84982.0,,2017,,"Nick Kroll, John Mulaney, Jessi Klein, Jason Mantzoukas",False
120,Cómo entrenar a tu dragón,"8,1",770290.0,75.0,2010,"Dean DeBlois, Chris Sanders","Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson",True
121,Los Mitchell contra las máquinas,"7,6",119053.0,81.0,2021,"Michael Rianda, Jeff Rowe","Abbi Jacobson, Danny McBride, Maya Rudolph, Michael Rianda",True
122,Berserk,"8,7",45942.0,,1997,,"Marc Diraison, Nobutoshi Canna, Carrie Keranen, Kevin T. Collins",False
123,Bichos: Una aventura en miniatura,"7,2",304685.0,77.0,1998,"John Lasseter, Andrew Stanton","Kevin Spacey, David Foley, Julia Louis-Dreyfus, Hayden Panettiere",True
124,Aladdín,"8,0",444218.0,86.0,1992,"Ron Clements, John Musker","Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman",True
125,Cyberpunk: Edgerunners,"8,3",62947.0,,2022,,"Zach Aguilar, Kenichiro Ohashi, Emi Lo, Aoi Yûki",False
126,The Venture Bros.: Radiant Is the Blood of the Baboon Heart,"8,1",851.0,84.0,2023,Christopher McCulloch,"Clancy Brown, Patrick Warburton, J.K. Simmons, James Urbaniak",False
127,La remesa mala,"7,8",45273.0,,2021,,"Ming-Na Wen, Dee Bradley Baker, Michelle Ang, Noshir Dalal",False
128,Soul,"8,0",352765.0,83.0,2020,"Pete Docter, Kemp Powers","Jamie Foxx, Tina Fey, Graham Norton, Rachel House",True
129,Pokémon,"7,5",45611.0,,1997,,"Veronica Taylor, Rachael Lillis, Eric Stuart, Ikue Ôtani",False
130,Pinocho de Guillermo del Toro,"7,6",102724.0,79.0,2022,"Guillermo del Toro, Mark Gustafson","Ewan McGregor, David Bradley, Gregory Mann, Burn Gorman",True
131,Cowboy Bebop,"8,9",129294.0,,1998,,"Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara, Steve Blum",True
132,Casa Búho,"8,5",16532.0,,2020,,"Sarah-Nicole Robles, Alex Hirsch, Wendie Malick, Tati Gabrielle",False
133,Luca,"7,4",178264.0,71.0,2021,Enrico Casarosa,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Saverio Raimondo",True
134,Los hermanos Venture,"8,6",27135.0,,2003,,"Christopher McCulloch, James Urbaniak, Doc Hammer, Michael Sinterniklaas",False
135,Los Increíbles 2,"7,6",314956.0,80.0,2018,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner",True
136,Spider-Man: Beyond the Spider-Verse,,,,,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Issa Rae, Oscar Isaac",False
137,Phineas y Ferb,"8,1",52591.0,,2007,,"Vincent Martella, Dan Povenmire, Thomas Brodie-Sangster, Ashley Tisdale",False
138,Toy Story 4,"7,7",266488.0,84.0,2019,Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale",True
139,¿Quién engañó a Roger Rabbit?,"7,7",209987.0,83.0,1988,Robert Zemeckis,"Bob Hoskins, Christopher Lloyd, Joanna Cassidy, Charles Fleischer",True
140,Red,"7,0",138459.0,83.0,2022,Domee Shi,"Rosalie Chiang, Sandra Oh, Ava Morse, Hyein Park",True
141,Lilo & Stitch,"7,3",202617.0,74.0,2002,"Dean DeBlois, Chris Sanders","Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers",True
142,Teenage Mutant Ninja Turtles,"7,8",11768.0,,2003,,"Michael Sinterniklaas, Wayne Grayson, Gregory Abbey, Sam Riegel",False
143,Hell's Paradise,"8,3",7056.0,,2023,,"Chiaki Kobayashi, Yumiri Hanamori, Marisa Duran, Alejandro Saab",False
144,Neon Genesis Evangelion,"8,5",77720.0,,1995,,"Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi, Spike Spencer",False
145,Big Hero 6,"7,8",482471.0,74.0,2014,"Don Hall, Chris Williams","Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller",True
146,"Lilo, mi amigo el cocodrilo","6,1",12668.0,51.0,2022,"Josh Gordon, Will Speck","Javier Bardem, Winslow Fegley, Shawn Mendes, Constance Wu",False
147,Isla de perros,"7,8",181477.0,82.0,2018,Wes Anderson,"Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban",True
148,Bungou Stray Dogs,"7,8",8133.0,,2016,,"Mamoru Miyano, Yûto Uemura, Yoshimasa Hosoya, Kaiji Tang",False
149,El asombroso mundo de Gumball,"8,3",37357.0,,2011,,"Dan Russell, Teresa Gallagher, Kerry Shale, Kyla Rae Kowalewski",False
150,Gru: Mi villano favorito,"7,6",565704.0,72.0,2010,"Pierre Coffin, Chris Renaud","Steve Carell, Jason Segel, Russell Brand, Julie Andrews",True
151,Boruto: Naruto Next Generations,"6,6",25103.0,,2017,,"Yûko Sanpei, Kokoro Kikuchi, Amanda Céline Miller, Ryûichi Kijima",False
152,Ice Age. La edad de hielo,"7,5",500814.0,61.0,2002,"Chris Wedge, Carlos Saldanha","Denis Leary, John Leguizamo, Ray Romano, Goran Visnjic",True
153,Hotel Transilvania,"7,0",269112.0,47.0,2012,Genndy Tartakovsky,"Adam Sandler, Kevin James, Andy Samberg, Selena Gomez",True
154,DC Liga de Supermascotas,"7,1",71122.0,56.0,2022,"Jared Stern, Sam J. Levine","Dwayne Johnson, Kevin Hart, Kate McKinnon, John Krasinski",False
155,Perfect Blue,"8,0",86191.0,67.0,1997,Satoshi Kon,"Junko Iwao, Rica Matsumoto, Shinpachi Tsuji, Masaaki Ôkura",False
156,Migración: Un viaje patas arriba (I),,,,2023,"Benjamin Renner, Guylo Homsy","Elizabeth Banks, Awkwafina, Carol Kane, Danny DeVito",False
157,Castlevania: Nocturne,,,,2023,,"Zahn McClarnon, Sophie Skelton, Nastassja Kinski, Richard Dormer",False
158,Mulán,"7,6",303015.0,71.0,1998,"Tony Bancroft, Barry Cook","Ming-Na Wen, Eddie Murphy, BD Wong, Miguel Ferrer",True
159,Tokyo Revengers,"7,9",21594.0,,2021,,"Griffin Puatu, Darren O'Hare, Nicolas Roye, Tatsuhisa Suzuki",False
160,La fiesta de las salchichas,"6,1",202776.0,66.0,2016,"Conrad Vernon, Greg Tiernan","Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell",True
161,Lorax: En busca de la trúfula perdida,"6,4",123629.0,46.0,2012,"Chris Renaud, Kyle Balda","Zac Efron, Taylor Swift, Danny DeVito, Ed Helms",True
162,El gato con botas,"6,6",184435.0,65.0,2011,Chris Miller,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton",True
163,Trolls,"6,4",86952.0,55.0,2016,"Mike Mitchell, Walt Dohrn","Anna Kendrick, Justin Timberlake, Zooey Deschanel, Christopher Mintz-Plasse",False
164,Luck (I),"6,4",25009.0,48.0,2022,"Peggy Holmes, Javier Abad","Eva Noblezada, Simon Pegg, Jane Fonda, Whoopi Goldberg",False
165,Oshi no Ko,"8,5",5561.0,,2023,,"Takeo Otsuka, Yurie Igoma, Megumi Han, Lynn",False
166,The Lord of the Rings: The War of the Rohirrim,,,,2024,Kenji Kamiyama,"Brian Cox, Miranda Otto, Shaun Dooley, Luke Pasqualino",False
167,La joven Liga de la Justicia,"8,6",43709.0,,2010,,"Nolan North, Danica McKellar, Jesse McCartney, Stephanie Lemelin",False
168,Solar Opposites,"8,0",27472.0,,2020,,"Thomas Middleditch, Sean Giambrone, Mary Mack, Sagan McMahan",False
169,Raya y el último dragón,"7,3",162315.0,74.0,2021,"Don Hall, Carlos López Estrada, Paul Briggs, John Ripa","Kelly Marie Tran, Awkwafina, Gemma Chan, Izaac Wang",True
170,Tiana y el sapo,"7,1",157286.0,73.0,2009,"Ron Clements, John Musker","Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos",True
171,¡Rompe Ralph!,"7,7",442141.0,72.0,2012,Rich Moore,"John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman",True
172,Spy x Family,"8,4",31202.0,,2022,,"Noucky Andriansyah, Takuya Eguchi, Atsumi Tanezaki, Megan Shipman",False
173,Minions: El origen de Gru,"6,5",77325.0,56.0,2022,"Kyle Balda, Brad Ableson, Jonathan del Val","Steve Carell, Pierre Coffin, Alan Arkin, Taraji P. Henson",False
174,Atlantis: El imperio perdido,"6,9",127989.0,52.0,2001,"Gary Trousdale, Kirk Wise","Michael J. Fox, Jim Varney, Corey Burton, Claudia Christian",True
175,Shrek 2,"7,3",486328.0,75.0,2004,"Andrew Adamson, Kelly Asbury, Conrad Vernon","Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews",True
176,Robots,"6,4",155939.0,64.0,2005,"Chris Wedge, Carlos Saldanha","Ewan McGregor, Halle Berry, Mel Brooks, Robin Williams",True
177,Helluva Boss,"8,2",6529.0,,2019,,"Brandon Rogers, Richard Steven Horvitz, Vivian Nixon, Erica Lindbeck",False
178,La patrulla canina,"6,1",3887.0,,2013,,"Ron Pardo, Kallan Holley, Justin Paul Kelly, Devan Cohen",False
179,Madagascar,"6,9",421672.0,57.0,2005,"Eric Darnell, Tom McGrath","Chris Rock, Ben Stiller, David Schwimmer, Jada Pinkett Smith",True
180,La bella y la bestia,"8,0",468014.0,95.0,1991,"Gary Trousdale, Kirk Wise","Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart",True
181,Shûmatsu no Valkyrie,"6,4",7744.0,,2021,,"Kellen Goff, Tomoyo Kurosawa, Miyuki Sawashiro, Daisuke Namikawa",False
182,Brave (Indomable),"7,1",427684.0,69.0,2012,"Mark Andrews, Brenda Chapman, Steve Purcell","Kelly Macdonald, Billy Connolly, Emma Thompson, Julie Walters",True
183,El planeta del tesoro,"7,2",126781.0,60.0,2002,"Ron Clements, John Musker","Joseph Gordon-Levitt, Emma Thompson, Martin Short, Roscoe Lee Browne",True
184,Gintama,"8,7",13409.0,,2005,,"Tomokazu Sugita, Daisuke Sakaguchi, Rie Kugimiya, Kazuya Nakai",False
185,Mi vecino Totoro,"8,1",358170.0,86.0,1988,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto, Shigesato Itoi",True
186,Batman: La LEGO película,"7,3",164241.0,75.0,2017,Chris McKay,"Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes",True
187,Velma,"1,6",74291.0,,2023,,"Mindy Kaling, Glenn Howerton, Sam Richardson, Constance Wu",False
188,Tarzán,"7,3",237842.0,79.0,1999,"Chris Buck, Kevin Lima","Tony Goldwyn, Minnie Driver, Brian Blessed, Glenn Close",True
