title_english,imdb_rating,imdb_trust,score,japanese_name
Little Witch Academia,7.8,False,7.91,リトルウィッチアカデミア
Little Witch Academia,7.3,False,7.91,リトルウィッチアカデミア
Yu-Gi-Oh! Arc-V,6.0,False,6.79,遊☆戯☆王　アーク・ファイブ ARC-V
Tsugumomo,6.6,False,7.07,つぐもも
O Maidens in Your Savage Season,7.2,False,7.5,荒ぶる季節の乙女どもよ。
Armitage III,6.9,False,7.05,アミテージ・ザ・サード
Barakamon,8.2,False,8.41,ばらかもん
Blood+,7.6,False,7.66,ブラッドプラス
Diabolik Lovers,4.9,False,5.3,DIABOLIK LOVERS
Sirius the Jaeger,6.8,False,7.04,天狼〈シリウス〉 Sirius the Jaeger
Kemono Jihen,7.3,False,7.56,怪物事変
Seiren,5.7,False,6.31,セイレン
Gunsmith Cats,7.2,False,7.27,ガンスミス キャッツ
Zatch Bell!,7.2,False,7.55,金色のガッシュベル!!
Blood Lad,7.0,False,7.33,ブラッドラッド
Absolute Duo,6.3,False,6.51,アブソリュート・デュオ
Superbook,6.6,False,5.99,アニメ 親子劇場
Samurai 7,7.6,False,7.48,サムライセブン
Black Bullet,6.9,False,7.17,ブラック・ブレット　BLACK BULLET　［黒の銃弾］
Kaiba,8.1,False,8.17,カイバ
Planetes,8.1,False,8.31,プラネテス
Toriko,7.2,False,7.56,トリコ
Lovely Complex,7.9,False,8.06,ラブ★コン
The Big O,7.5,False,7.53,THEビッグオー
No. 6,7.4,False,7.58,NO.6［ナンバー・シックス］
Chihayafuru,8.1,False,8.23,ちはやふる
Venus Wars,6.6,False,6.78,ヴィナス戦記
Owarimonogatari,8.3,False,8.46,終物語
Kiznaiver,7.0,False,7.43,キズナイーバー
Triage X,6.0,False,6.34,トリアージX
Gamers!,6.7,False,6.92,ゲーマーズ！
Nisemonogatari,7.6,False,8.18,偽物語
Yu-Gi-Oh! Zexal,5.2,False,6.34,遊☆戯☆王ZEXAL
Trinity Blood,7.1,False,7.32,トリニティ・ブラッド
Accel World,7.0,False,7.32,アクセル・ワールド
Yu-Gi-Oh!,7.8,False,7.47,遊☆戯☆王　デュエルモンスターズ
Shin Chan,8.4,False,7.69,クレヨンしんちゃん
Shin Chan,8.0,False,7.69,クレヨンしんちゃん
Shin Chan,8.1,False,7.69,クレヨンしんちゃん
Shin Chan,8.6,False,7.69,クレヨンしんちゃん
Pop Team Epic,6.9,False,7.27,ポプテピピック
Hitorijime My Hero,7.4,False,7.41,ひとりじめマイヒーロー
Campione!,6.8,False,7.05,カンピオーネ！ ～まつろわぬ神々と神殺しの魔王～
Non Non Biyori,7.8,False,7.95,のんのんびより
Aldnoah.Zero,7.1,False,7.44,アルドノア・ゼロ
Aldnoah.Zero,7.1,False,6.98,アルドノア・ゼロ2ndシーズン
Paradise Kiss,7.7,False,7.83,Paradise kiss
Super Lovers,6.9,False,7.08,SUPER LOVERS（スーパーラヴァーズ）
Bakuman.,8.0,False,8.23,バクマン。
Bakuman.,8.0,False,8.4,バクマン。2ndシーズン
Bakuman.,8.0,False,8.58,バクマン。
Armed Girl's Machiavellism,6.6,False,6.96,武装少女マキャヴェリズム
Love Hina,6.9,False,7.14,ラブひな
Amagi Brilliant Park,7.0,False,7.52,甘城ブリリアントパーク
Idaten Jump,8.2,False,6.96,韋駄天翔(ジャンプ)
Tiger & Bunny,7.2,False,7.94,TIGER & BUNNY （タイガー・アンド・バニー）
Handa-kun,7.2,False,7.39,はんだくん
Record of Grancrest War,7.1,False,7.25,グランクレスト戦記
Tenchi Muyo! War on Geminar,7.0,False,7.84,異世界の聖機師物語
Ushio & Tora,7.6,False,7.95,うしおととら
Ushio & Tora,7.1,False,7.95,うしおととら
Chobits,7.3,False,7.43,ちょびっツ
Tokyo Ravens,7.3,False,7.53,東京レイヴンズ
Kuromukuro,7.2,False,7.21,クロムクロ
Maiden Rose,5.8,False,6.64,百日の薔薇
Shuffle!,6.8,False,7.09,SHUFFLE! (シャッフル!)
Infinite Dendrogram,6.1,False,6.14,<Infinite Dendrogram>-インフィニット・デンドログラム-
Dusk Maiden of Amnesia,7.3,False,7.86,黄昏乙女×アムネジア
Love Lab,6.8,False,7.36,恋愛ラボ
Outbreak Company,6.7,False,7.3,アウトブレイク・カンパニー
Love Stage!!,7.3,False,7.32,LOVE STAGE!!
Kokkoku,7.0,False,7.04,刻刻
School Rumble,7.8,False,7.94,スクールランブル
Medaka Box,6.4,False,7.07,めだかボックス
Somali and the Forest Spirit,7.5,False,7.82,ソマリと森の神様
Chrono Crusade,7.1,False,7.66,クロノクルセイド
To the Abandoned Sacred Beasts,6.2,False,6.41,かつて神だった獣たちへ
Nanbaka,6.6,False,7.34,ナンバカ
Kakushigoto,7.4,False,8.02,かくしごと
Shirobako,8.0,False,8.35,SHIROBAKO
Digimon Fusion,6.5,False,6.73,デジモンクロスウォーズ
Digimon Fusion,6.5,False,7.16,デジモンクロスウォーズ～悪のデスジェネラルと七つの王国～
