mal_id,name,score,genres,english_name,japanese_name,type,episodes,aired,premiered,producers,licensors,studios,source,duration,rating,ranked,members,director,producer
1000,Uchuu Kaizoku Captain Herlock,7.71,"Action, Sci-Fi, Adventure, Space, Drama, Seinen",Space Pirate Captain Harlock,宇宙海賊・キャプテンハーロック,TV,42,"Mar 14, 1978 to Feb 13, 1979",Spring 1978,Studio Nue,Discotek Media,Toei Animation,Manga,25 min. per ep.,PG-13 - Teens 13 or older,995.0,28480,Masayuki Kojima,
1002,Top wo Nerae 2! Diebuster,7.67,"Action, Sci-Fi, Space, Comedy, Drama, Mecha",Gunbuster 2,トップをねらえ2！DIEBUSTER,OVA,6,"Oct 3, 2004 to Aug 25, 2006",Unknown,Bandai Visual,"Discotek Media, Bandai Visual USA",Gainax,Original,30 min. per ep.,R+ - Mild Nudity,1101.0,64986,Hideaki AnnoKazuya Tsurumaki,Shirō SasakiHisanori KunisakiYasuhiro TakedaTakeshi Yasuda
1005,Star Ocean EX,6.61,"Adventure, Fantasy, Sci-Fi, Shounen",Star Ocean EX,スターオーシャンEX,TV,26,"Apr 3, 2001 to Sep 25, 2001",Spring 2001,"TV Tokyo, Dentsu","Discotek Media, Geneon Entertainment USA",Studio Deen,Game,22 min. per ep.,PG-13 - Teens 13 or older,5318.0,11416,Hiroshi Watanabe,Fukashi AzumaTahei YamanishiMasahiro Toyozumi
1017,Majutsushi Orphen,7.17,"Action, Adventure, Comedy, Demons, Fantasy, Magic",Orphen,魔術士オーフェン,TV,24,"Oct 3, 1998 to Mar 27, 1999",Fall 1998,"Kadokawa Shoten, TBS",Sentai Filmworks,J.C.Staff,Light novel,25 min. per ep.,PG-13 - Teens 13 or older,2922.0,35729,Takayuki Hamana,Tetsuo GenshōMichihisa AbeYūji Matsukura
1019,Honoo no Mirage,6.57,"Action, Historical, Supernatural, Drama, Romance, School, Shounen Ai",Mirage of Blaze,炎の蜃気楼 [ミラージュ],TV,13,"Jan 7, 2002 to Apr 8, 2002",Winter 2002,"Aniplex, Shueisha",Media Blasters,Madhouse,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,5536.0,19350,Fumie Muroi,Yuichiro Sato
1025,Kachou Ouji,7.01,"Sci-Fi, Adventure, Music, Slice of Life, Space, Comedy",Legend of Black Heaven,課長王子,TV,13,"Jul 8, 1999 to Oct 7, 1999",Summer 1999,Pioneer LDC,"Discotek Media, Geneon Entertainment USA","AIC, APPP",Original,25 min. per ep.,R+ - Mild Nudity,3624.0,25418,Yasuhito Kikuchi,Hiroaki Inoue (AIC)Kazuaki Morijiri (AIC)Kinya Watanabe (AIC)Mie Ide (Pioneer LDC)
1026,Yakumotatsu,6.11,"Adventure, Supernatural, Historical, Horror, Shoujo",Eight Clouds Rising,八雲立つ,OVA,2,"Oct 25, 1997 to Nov 25, 1997",Unknown,Bandai Visual,Media Blasters,Studio Pierrot,Manga,29 min. per ep.,PG-13 - Teens 13 or older,7778.0,3586,Tomomi Mochizuki,
1032,Kumo no You ni Kaze no You ni,6.81,"Adventure, Historical, Drama, Romance","Like the Clouds, Like the Wind",雲のように風のように,Movie,1,"Mar 21, 1990",Unknown,Yomiko Advertising,Discotek Media,Studio Pierrot,Novel,1 hr. 20 min.,G - All Ages,4413.0,6092,Hisayuki Toriumi,Tooru HorikoshiMinoru OonoYoshitaka Suzuki
1045,Elf wo Karu Mono-tachi,7.03,"Adventure, Comedy, Ecchi, Fantasy, Magic, Shounen",Those Who Hunt Elves,エルフを狩るモノたち,TV,12,"Oct 4, 1996 to Dec 20, 1996",Fall 1996,"Sotsu, Showgate","ADV Films, Sentai Filmworks","Group TAC, Amuse",Manga,24 min. per ep.,PG-13 - Teens 13 or older,3534.0,21147,Hiroshi Fukutomi,
1048,The SoulTaker: Tamashii-gari,6.38,"Demons, Horror, Supernatural",SoulTaker,The SoulTaker～魂狩～,TV,13,"Apr 4, 2001 to Jul 4, 2001",Spring 2001,"WOWOW, Pioneer LDC, Toshiba Entertainment, Toshiba Digital Frontiers",Geneon Entertainment USA,Tatsunoko Production,Original,25 min. per ep.,PG-13 - Teens 13 or older,6498.0,22267,Akio Watanabe (episode 1 & 2) Toshiaki Tetsura (episode 3),Kohei KawaseMichiko SuzukiShoichi Yoshida
