mal_id,name,score,genres,english_name,japanese_name,type,episodes,aired,premiered,producers,licensors,studios,source,duration,rating,ranked,members,director,producer
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",Cowboy Bebop,カウボーイビバップ,TV,26,"Apr 3, 1998 to Apr 24, 1999",Spring 1998,Bandai Visual,"Funimation, Bandai Entertainment",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),28.0,1251960,Shinichirō Watanabe,Masahiko MinamiKazuhiko Ikeguchi
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",Trigun,トライガン,TV,26,"Apr 1, 1998 to Sep 30, 1998",Spring 1998,Victor Entertainment,"Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,266.0,558913,Satoshi Nishimura,Shigeru Kitayama
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",Witch Hunter Robin,Witch Hunter ROBIN (ウイッチハンターロビン),TV,26,"Jul 2, 2002 to Dec 24, 2002",Summer 2002,"TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment","Funimation, Bandai Entertainment",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,2481.0,94683,Shūkō Murase,Keiichi MatsumuraAtsushi Sugita
8,Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",Beet the Vandel Buster,冒険王ビィト,TV,52,"Sep 30, 2004 to Sep 29, 2005",Fall 2004,"TV Tokyo, Dentsu",Unknown,Toei Animation,Manga,23 min. per ep.,PG - Children,3710.0,13224,Tatsuya Nagamine,
16,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",Honey and Clover,ハチミツとクローバー,TV,24,"Apr 15, 2005 to Sep 27, 2005",Spring 2005,"Genco, Fuji TV, Shueisha","VIZ Media, Discotek Media",J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,468.0,214499,Li Yun Chan,
22,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",The Prince of Tennis,テニスの王子様,TV,178,"Oct 10, 2001 to Mar 23, 2005",Fall 2001,"Production I.G, Nihon Ad Systems",VIZ Media,Trans Arts,Manga,22 min. per ep.,PG-13 - Teens 13 or older,675.0,141832,Hiroshi Kōjina,Shuhei Arai
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",School Rumble,スクールランブル,TV,26,"Oct 5, 2004 to Mar 29, 2005",Fall 2004,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Funimation,Studio Comet,Manga,23 min. per ep.,PG-13 - Teens 13 or older,625.0,275464,Shinji Takamatsu,Bunpei OgawaKensuke TateishiMasakazu YoshimotoMotohiro NakataRyoichi Suzuki
25,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",Desert Punk,砂ぼうず,TV,24,"Oct 6, 2004 to Mar 30, 2005",Fall 2004,"GDH, Pony Canyon, CBC",Funimation,Gonzo,Manga,24 min. per ep.,R - 17+ (violence & profanity),1844.0,111734,Takayuki Inagaki,Kazuhiko SuzukiTakashi WatanabeTakeyuki OkazakiTakuya ChibaYoko KawaharaYuuichi Tanaka
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",Texhnolyze,TEXHNOLYZE,TV,22,"Apr 17, 2003 to Sep 25, 2003",Spring 2003,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Original,23 min. per ep.,R+ - Mild Nudity,896.0,182599,Hiroshi Hamasaki,Henry GotōSatoshi ShikataYasuyuki UedaYoshimichi Murata
27,Trinity Blood,7.32,"Action, Supernatural, Vampire",Trinity Blood,トリニティ・ブラッド,TV,24,"Apr 29, 2005 to Oct 28, 2005",Spring 2005,Unknown,Funimation,Gonzo,Light novel,24 min. per ep.,R - 17+ (violence & profanity),2240.0,158343,Tomohiro Hirata,
28,Yakitate!! Japan,7.95,"Comedy, Shounen",Yakitate!! Japan,焼きたて!! ジャぱん,TV,69,"Oct 12, 2004 to Mar 14, 2006",Fall 2004,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Nozomi Entertainment,Sunrise,Manga,24 min. per ep.,PG-13 - Teens 13 or older,609.0,80183,Yasunao Aoki,Norio YamakawaHideyuki Tomioka
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",Neon Genesis Evangelion,新世紀エヴァンゲリオン,TV,26,"Oct 4, 1995 to Mar 27, 1996",Fall 1995,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","ADV Films, Netflix","Gainax, Tatsunoko Production",Original,24 min. per ep.,PG-13 - Teens 13 or older,208.0,1160651,"
Hideaki Anno
Masayuki (assistant)
Kazuya Tsurumaki (assistant)
","
Noriko Kobayashi (TV Tokyo)
Yutaka Sugiyama (NAS)
"
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",.hack//Sign,.hack//SIGN,TV,26,"Apr 4, 2002 to Sep 26, 2002",Spring 2002,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2","Funimation, Bandai Entertainment",Bee Train,Original,24 min. per ep.,PG-13 - Teens 13 or older,3687.0,158227,Kōichi Mashimo,
49,Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",Oh! My Goddess,ああっ女神さまっ,OVA,5,"Feb 21, 1993 to May 17, 1994",Unknown,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AnimEigo,AIC,Manga,30 min. per ep.,PG-13 - Teens 13 or older,2226.0,46428,Hiroaki Gohda,
50,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",Ah! My Goddess,ああっ女神さまっ,TV,24,"Jan 7, 2005 to Jul 8, 2005",Winter 2005,"Bandai Visual, TBS, Imagine","Media Blasters, NYAV Post",AIC,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2116.0,135747,Hiroaki Gohda,
51,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",Angel Sanctuary,天使禁猟区,OVA,3,"May 25, 2000 to Aug 25, 2000",Unknown,"Bandai Visual, AIC, Lantis, Audio Tanaka",Media Blasters,Hal Film Maker,Manga,30 min. per ep.,R+ - Mild Nudity,6823.0,43960,Kiyoko Sayama,Satoshi KuboYoshiyuki ItōKatsunori Haruta
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",Battle Doll Angelic Layer,機動天使エンジェリックレイヤー,TV,26,"Apr 1, 2001 to Sep 23, 2001",Spring 2001,TV Tokyo Music,"ADV Films, Sentai Filmworks",Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older,2529.0,51022,Hiroshi Nishikiori,Masahiko MinamiShinsaku HattaTaihei Yamanishi
53,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",Ai Yori Aoshi,藍より青し,TV,24,"Apr 11, 2002 to Sep 26, 2002",Spring 2002,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray","Funimation, Geneon Entertainment USA",J.C.Staff,Manga,23 min. per ep.,PG-13 - Teens 13 or older,3012.0,94793,Masami Shimoda,Nobuyuki YamamotoShōichi NakazawaYūichi SekidoYūji Matsukura
58,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",Blue Gender,BLUE GENDER,TV,26,"Oct 8, 1999 to Mar 31, 2000",Fall 1999,"Youmex, Toshiba EMI",Funimation,AIC,Original,23 min. per ep.,R+ - Mild Nudity,3455.0,65360,Koichi Ohata,Yasuo HasegawaHiroaki InoueHiroshi TazakiBag Min Beob
59,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",Chobits,ちょびっツ,TV,26,"Apr 3, 2002 to Sep 25, 2002",Spring 2002,"TBS, Pioneer LDC","Funimation, Geneon Entertainment USA",Madhouse,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1804.0,402646,Morio Asaka,Tatsuya OnoYuichi SekidoTetsuo Genshō
60,Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",Chrono Crusade,クロノクルセイド,TV,24,"Nov 25, 2003 to Jun 10, 2004",Fall 2003,"Lantis, Kadokawa Shoten, Fuji TV","ADV Films, Funimation",Gonzo,Manga,23 min. per ep.,R - 17+ (violence & profanity),1120.0,198007,Yū Kō,Atsuya TakaseGō WakamatsuShigeaki TomiokaTsuneo Takeuchi
61,D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",D.N.Angel,Ｄ・Ｎ・ＡＮＧＥＬ,TV,26,"Apr 3, 2003 to Sep 25, 2003",Spring 2003,Kadokawa Shoten,"ADV Films, Discotek Media",Xebec,Manga,23 min. per ep.,PG-13 - Teens 13 or older,2761.0,167615,Koji YoshikawaNobuyoshi Habara,
63,DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",DearS,ディアーズ,TV,12,"Jul 11, 2004 to Sep 26, 2004",Summer 2004,"Bandai Visual, Hal Film Maker, Genco, Lantis","Discotek Media, Geneon Entertainment USA",Daume,Manga,23 min. per ep.,R+ - Mild Nudity,5274.0,128788,Iku Suzuki,Hisanori KunisakiNobuhiro ŌsawaTakayasu Hatano
64,Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden,ローゼンメイデン,TV,12,"Oct 8, 2004 to Dec 24, 2004",Fall 2004,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack","Sentai Filmworks, Geneon Entertainment USA",Nomad,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1782.0,176775,Shinichi Omata[a],
71,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",Full Metal Panic!,フルメタル・パニック！,TV,24,"Jan 8, 2002 to Jun 18, 2002",Winter 2002,Kadokawa Shoten,"ADV Films, Funimation",Gonzo,Light novel,24 min. per ep.,R - 17+ (violence & profanity),1146.0,411230,Katsuichi Nakayama,Shigeaki TomiokaTsuneo TakechiMasafumi FukuiToshihito Suzuki
72,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",Full Metal Panic? Fumoffu,フルメタル・パニック? ふもっふ,TV,12,"Aug 26, 2003 to Oct 18, 2003",Summer 2003,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do","ADV Films, Funimation",Kyoto Animation,Light novel,24 min. per ep.,PG-13 - Teens 13 or older,452.0,254465,Katsuichi Nakayama,Shigeaki TomiokaTsuneo TakechiMasafumi FukuiToshihito Suzuki
73,Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",Full Metal Panic! The Second Raid,フルメタル パニック！The Second Raid,TV,13,"Jul 14, 2005 to Oct 20, 2005",Summer 2005,"Kadokawa Shoten, Happinet Pictures","ADV Films, Funimation, Kadokawa Pictures USA",Kyoto Animation,Light novel,24 min. per ep.,R - 17+ (violence & profanity),579.0,227927,Katsuichi Nakayama,Shigeaki TomiokaTsuneo TakechiMasafumi FukuiToshihito Suzuki
74,Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",Gakuen Alice,学園アリス,TV,26,"Oct 30, 2004 to May 14, 2005",Fall 2004,"Aniplex, Sogo Vision",Nozomi Entertainment,Group TAC,Manga,25 min. per ep.,G - All Ages,1158.0,81446,Takahiro Omori,Eizou KondouAtsuhiro IwakamiNobuyuki SugaTakashi Sakuma
76,Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha,魔法少女リリカルなのは,TV,13,"Oct 3, 2004 to Dec 26, 2004",Fall 2004,"Starchild Records, Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,25 min. per ep.,PG-13 - Teens 13 or older,1828.0,88890,Takayuki Hamana,Tomohiro Arai
77,Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",Magical Girl Lyrical Nanoha A's,魔法少女リリカルなのは エース,TV,13,"Oct 2, 2005 to Dec 25, 2005",Fall 2005,"Starchild Records, Omnibus Japan",Geneon Entertainment USA,Seven Arcs,Original,25 min. per ep.,PG-13 - Teens 13 or older,551.0,56981,Keizou Kusakawa,Akio MishimaTatsuya TanakaHiroyuki Shimizu
79,Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",Shuffle!,SHUFFLE! (シャッフル!),TV,24,"Jul 8, 2005 to Jan 6, 2006",Summer 2005,"Xebec, Lantis, Memory-Tech",Funimation,Asread,Visual novel,23 min. per ep.,R+ - Mild Nudity,3231.0,240751,Naoto Hosoda,Tomoko SuzukiTsuneo TaketomoChiaki Terada
80,Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",Mobile Suit Gundam,機動戦士ガンダム,TV,43,"Apr 7, 1979 to Jan 26, 1980",Spring 1979,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,25 min. per ep.,PG-13 - Teens 13 or older,867.0,97216,Yoshikazu Yasuhiko,"
Masami Iwasaki
Masuo Ueda
Takayuki Yoshii
"
85,Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",Mobile Suit Zeta Gundam,機動戦士Ζガンダム,TV,50,"Mar 2, 1985 to Feb 22, 1986",Spring 1985,"Sotsu, Nagoya Broadcasting Network","Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,655.0,53822,Yoshiyuki Tomino,Keiichi MatsumuraSatoshi Kubo
86,Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",Mobile Suit Gundam ZZ,機動戦士ガンダムZZ,TV,47,"Mar 1, 1986 to Jan 31, 1987",Spring 1986,"Sotsu, Nagoya Broadcasting Network",Nozomi Entertainment,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,5111.0,30758,Yoshiyuki Tomino,Kenji UchidaJuichi KamiyaMitsushige Inagaki
89,Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",Mobile Suit V Gundam,機動戦士Vガンダム,TV,51,"Apr 2, 1993 to Mar 25, 1994",Spring 1993,"TV Asahi, Sotsu, Apollon",Nozomi Entertainment,"Sunrise, Studio Deen",Original,24 min. per ep.,PG-13 - Teens 13 or older,4632.0,20794,Yoshiyuki Tomino,Masuo Ueda (for Sunrise)Yoshiaki Koizumi (for TV Asahi)
90,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam Wing,新機動戦記ガンダムW,TV,49,"Apr 7, 1995 to Mar 29, 1996",Spring 1995,TV Asahi,Bandai Entertainment,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,984.0,132208,Masashi Ikeda,Hideyuki Tomioka
92,After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",After War Gundam X,機動新世紀ガンダムX,TV,39,"Apr 5, 1996 to Dec 28, 1996",Spring 1996,"TV Asahi, Sotsu",Nozomi Entertainment,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,2228.0,28862,Shinji Takamatsu,
93,Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",Mobile Suit Gundam SEED,機動戦士ガンダムSEED,TV,50,"Oct 5, 2002 to Sep 27, 2003",Fall 2002,"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa","Bandai Entertainment, NYAV Post",Sunrise,Original,24 min. per ep.,R - 17+ (violence & profanity),850.0,140346,Mitsuo Fukuda,
95,Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",∀ Gundam,∀ガンダム,TV,50,"Apr 9, 1999 to Apr 14, 2000",Spring 1999,"Sotsu, Fuji TV",Nozomi Entertainment,"Sunrise, Nakamura Production",Original,24 min. per ep.,PG-13 - Teens 13 or older,1018.0,35670,Yoshiyuki Tomino,Yoshihiro SuzukiHideyuki Tomioka
96,Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",Mobile Fighter G Gundam,機動武闘伝Gガンダム,TV,49,"Apr 1, 1994 to Mar 31, 1995",Spring 1994,"TV Asahi, Sotsu",Bandai Entertainment,Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,1396.0,55463,Yasuhiro Imagawa,Masahiko MinamiMasuo UedaYoshiaki Koizumi
97,Last Exile,7.82,"Action, Sci-Fi, Adventure",Last Exile,LAST EXILE（ラストエグザイル）,TV,26,"Apr 8, 2003 to Sep 30, 2003",Spring 2003,"GDH, Victor Entertainment, TV Tokyo Music","Funimation, Geneon Entertainment USA",Gonzo,Original,24 min. per ep.,PG-13 - Teens 13 or older,795.0,149528,Yukio Takahashi,Hiroyuki BirukawaTadashi HoshinoMasami Abe
98,Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",My-Hime,舞-HiME,TV,26,"Sep 30, 2004 to Mar 31, 2005",Fall 2004,"Bandai Visual, TV Tokyo Music, Studio Zain","Funimation, Bandai Entertainment",Sunrise,Original,23 min. per ep.,PG-13 - Teens 13 or older,1698.0,101495,Masakazu Obara,Hisanori KunisakiNaotake Furusato
99,Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",My-Otome,舞-乙HiME,TV,26,"Oct 7, 2005 to Mar 31, 2006",Fall 2005,"Bandai Visual, Lantis, TV Tokyo Music","Funimation, Bandai Entertainment",Sunrise,Original,24 min. per ep.,PG-13 - Teens 13 or older,2308.0,46018,Masakazu Obara,
103,Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",Red Riding Hood Chacha,赤ずきんチャチャ,TV,74,"Jan 7, 1994 to Jun 30, 1995",Winter 1994,"Nihon Ad Systems, Shueisha",Unknown,Gallop,Manga,24 min. per ep.,G - All Ages,1941.0,12006,Hatsuki Tsuji,Noriko KobayashiYoko MatsushitaAkio Wakana
104,Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo","Ceres, Celestial Legend",妖しのセレス,TV,24,"Apr 20, 2000 to Sep 28, 2000",Spring 2000,Bandai Visual,"VIZ Media, Discotek Media",Studio Pierrot,Manga,21 min. per ep.,R - 17+ (violence & profanity),2641.0,53189,Hajime Kamegaki,Akito YamashitaShigeru WatanabeYuji Nunokawa
105,Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",Boys Be...,ボーイズ・ビー,TV,13,"Apr 11, 2000 to Jul 4, 2000",Spring 2000,Unknown,Nozomi Entertainment,Hal Film Maker,Manga,23 min. per ep.,PG-13 - Teens 13 or older,6088.0,20032,Masami Shimoda,
106,Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",Hana Yori Dango,花より男子,TV,51,"Sep 8, 1996 to Aug 31, 1997",Fall 1996,Unknown,"VIZ Media, Discotek Media",Toei Animation,Manga,25 min. per ep.,PG-13 - Teens 13 or older,1027.0,48623,Shigeyasu Yamauchi,Tetsu Odake Yasuo KameyamaTakashi HoriuchiHiromi Seki
109,Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",Burst Angel,爆裂天使,TV,24,"Apr 7, 2004 to Sep 15, 2004",Spring 2004,"GDH, TV Asahi, Imagica",Funimation,Gonzo,Original,23 min. per ep.,PG-13 - Teens 13 or older,4381.0,62106,Koichi Ohata,Naomi NishiguchiNaoshi ImamotoToshio Hatanaka
111,Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",Corrector Yui,コレクター・ユイ,TV,52,"Apr 9, 1999 to Oct 20, 2000",Spring 1999,"NHK, Studio Tron",VIZ Media,Nippon Animation,Original,25 min. per ep.,PG - Children,4318.0,12222,Yuji Mutoh,Hisako Matsumoto
112,Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",The Cosmopolitan Prayers,超変身コス∞プレイヤー,TV,8,"Jan 12, 2004 to Mar 1, 2004",Winter 2004,m.o.e.,Unknown,"Imagin, Studio Live",Original,14 min. per ep.,PG-13 - Teens 13 or older,10648.0,7392,Takeo Takahashi,Akio SakaiMasanobu ArakawaToyoo Ashida
113,Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",Stellvia,宇宙のステルヴィア,TV,26,"Apr 3, 2003 to Sep 25, 2003",Spring 2003,"Starchild Records, TV Tokyo Music","Discotek Media, Geneon Entertainment USA",Xebec,Original,23 min. per ep.,PG-13 - Teens 13 or older,1980.0,20924,Tatsuo Satō,Gou NakanishiShinichi IkedaTakatoshi Chino
114,Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",Cromartie High School,魁!! クロマティ高校,TV,26,"Oct 3, 2003 to Mar 26, 2004",Fall 2003,TV Tokyo Music,"ADV Films, Sentai Filmworks, Discotek Media",Production I.G,Manga,12 min. per ep.,PG-13 - Teens 13 or older,631.0,112001,Hiroaki Sakurai,Noriko KobayashiMasatomo Nishizawa
120,Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",Fruits Basket,フルーツバスケット,TV,26,"Jul 5, 2001 to Dec 27, 2001",Summer 2001,"TV Tokyo, Nihon Ad Systems, King Records",Funimation,Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1058.0,420919,Yoshihide Ibata,
123,Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",Mysterious Play,ふしぎ遊戯,TV,52,"Apr 6, 1995 to Mar 28, 1996",Spring 1995,"TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon","Media Blasters, Geneon Entertainment USA",Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1172.0,96861,Nanako Shimazaki,Chizuko SugenoMichiyuki HonmaKouichi Kikuchi
125,Futakoi,6.49,"Comedy, Romance, School",Twin Love,双恋,TV,13,"Oct 6, 2004 to Dec 29, 2004",Fall 2004,Lantis,Unknown,Telecom Animation Film,Original,24 min. per ep.,PG-13 - Teens 13 or older,5946.0,31358,Nobuo Tomisawa,Mareyoshi TakanoGō YadoriKazuya WatanabeKōji Takeuchi
130,Saiyuuki Reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",Saiyuki Reload,最遊記RELOAD,TV,25,"Oct 2, 2003 to Mar 25, 2004",Fall 2003,Unknown,Geneon Entertainment USA,Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,1858.0,28277,Misato Takada,Ken HaginoTetsuya WatanabeTomoko Gushima
131,Saiyuuki Reload Gunlock,7.42,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",Saiyuki Gunlock,最遊記RELOAD GUNLOCK,TV,26,"Apr 2, 2004 to Sep 24, 2004",Spring 2004,Unknown,Geneon Entertainment USA,Studio Pierrot,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1840.0,19393,Misato Takada,Ken HaginoTetsuya WatanabeTomoko Gushima
132,GetBackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",Getbackers,ゲットバッカーズ　奪還屋,TV,49,"Oct 5, 2002 to Sep 20, 2003",Fall 2002,"TBS, Kodansha, Rondo Robe, Rakuonsha","ADV Films, Sentai Filmworks",Studio Deen,Manga,24 min. per ep.,PG-13 - Teens 13 or older,1249.0,105139,Kazuhiro FuruhashiKeitaro Motonaga,Kaoru SakamotoKazunori NoguchiSatoshi Kohno
134,Gunslinger Girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi",Gunslinger Girl,ガンスリンガー・ガール,TV,13,"Oct 9, 2003 to Feb 19, 2004",Fall 2003,"Marvelous, Fuji TV",Funimation,Madhouse,Manga,24 min. per ep.,R - 17+ (violence & profanity),1821.0,161010,Hiroshi Ishidori (Chief)Akira Mano,Takatoshi HamanoMori ŌiKazuya WatanabeSatoshi Yoshimoto
135,Hikaru no Go,8.11,"Comedy, Game, Shounen, Supernatural",Hikaru no Go,ヒカルの碁,TV,75,"Oct 10, 2001 to Mar 26, 2003",Fall 2001,"TV Tokyo, Dentsu, Dream Force",VIZ Media,Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,400.0,111164,Liu Chang,
136,Hunter x Hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",Hunter x Hunter,HUNTER×HUNTER（ハンター×ハンター）,TV,62,"Oct 16, 1999 to Mar 31, 2001",Fall 1999,Fuji TV,VIZ Media,Nippon Animation,Manga,23 min. per ep.,PG-13 - Teens 13 or older,143.0,416227,Hiroshi Kōjina,Toshio NakataniNaoki Iwasa (#1–58)Tomoko Yoshino (#1–75)Tetsuto Motoyasu (#1–87)Akira Shinohara (#1–99)Manabu Tamura (#1–123)Atsushi Kirimoto (#59–148)Hiroyuki Okino (#88–100)Kenichi Sakurai (#100–148)Ai Morikawa (#124–148)
141,Jinki:Extend,6.14,"Mecha, Sci-Fi",Jinki:Extend,ジンキ・エクステンド,TV,12,"Jan 6, 2005 to Mar 24, 2005",Winter 2005,"TV Asahi, GANSIS","ADV Films, Funimation",feel.,Manga,23 min. per ep.,R - 17+ (violence & profanity),7618.0,9900,Masahiko Murata,Schreck HedwickMakoto TakigasakiShigeru Tateishi
143,Kannazuki no Miko,6.87,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",Destiny of the Shrine Maiden,神無月の巫女,TV,12,"Oct 2, 2004 to Dec 18, 2004",Fall 2004,"Studio Fantasia, Geneon Universal Entertainment, Remic, Front Line, Kodansha, Rondo Robe, Memory-Tech, Toshiba Entertainment","Sentai Filmworks, Geneon Entertainment USA",TNK,Manga,24 min. per ep.,PG-13 - Teens 13 or older,4169.0,60077,Tetsuya Yanagisawa,
145,Kareshi Kanojo no Jijou,7.61,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",His and Her Circumstances,彼氏彼女の事情,TV,26,"Oct 2, 1998 to Mar 26, 1999",Fall 1998,"TV Tokyo, GANSIS",Nozomi Entertainment,"Gainax, J.C.Staff",Manga,24 min. per ep.,PG-13 - Teens 13 or older,1254.0,170539,Hideaki AnnoHiroki Sato[a],Noriko KobayashiTakayuki YanagisawaToshimichi Ōtsuki
146,Kono Minikuku mo Utsukushii Sekai,6.76,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",This Ugly Yet Beautiful World,この醜くも美しい世界,TV,12,"Apr 2, 2004 to Jun 18, 2004",Spring 2004,"Geneon Universal Entertainment, TBS, Rondo Robe, Movic",ADV Films,"Gainax, Shaft",Original,24 min. per ep.,R+ - Mild Nudity,4625.0,54222,Shouji Saeki,Takeshi Shingūji (TBS)Yūichi Sekido (Pioneer LDC)Hiroki Satou (Gainax)
147,Kimi ga Nozomu Eien,7.24,"Drama, Romance, Slice of Life",Rumbling Hearts,君が望む永遠,TV,14,"Oct 5, 2003 to Jan 4, 2004",Fall 2003,"Lantis, Media Factory, Age",Funimation,Studio Fantasia,Visual novel,23 min. per ep.,R+ - Mild Nudity,2604.0,123752,Hideki Takayama,Takayuki NagataniKensuke KidoJūkō Ozawa
